"mol","NAME_","available","H_acceptor","H_donor","B_rotN","N_O","logP","logD","logSw","PSA"
COc1ccc(cc1OC)C1C(N(CC(N1Cc1ccccc1)=O)C1CCCCCC1)=O,K784-6573,102,4,0,6,6,4.12,4.15,-5.84,59.08
COc1ccc(cc1OC)S(N1CCCC(C1)C(NC1CCCC1)=O)(=O)=O,Y050-1073,27,7,1,6,7,2.88,3.262,-8.212,93.32
COc1cccc(C2CC(C(Nc3ccc4c(c3)OCO4)=O)ON=2)c1OC,C651-0438,278,7,1,6,8,2.12,2.29,-2.98,87.61
COc1cccc(CNC(c2ccc(cc2)NC(C2CCCO2)=O)=O)c1,C181-0847,121,4,2,8,6,2.06,2.57,-3.02,76.66
COc1cccc(c1)NC(CSc1c(nc2ccccc2n1)N1CCOCC1)=O,7472-0244,1,7,1,6,7,3.27,3.27,-3.93,101.9
COc1ccccc1CNC(C1CCN(CC1)C(NC1CCCCC1)=O)=O,D207-0027,1,3,2,8,6,2.68,5.4,-4.72,70.67
COc1ccccc1N1CCN(CC1)C(CCCN1C(c2c(ccs2)NC1=O)=O)=O,C172-0225,1,8,1,6,8,2.51,7.4,-4.63,110.4
COc1ccccc1c1nnc([nH]1)SCC(N1CCC(CC1)C(N)=O)=O,Y020-1863,44,8,3,6,8,0.26,0.9145,-1.768,139.5
CS(N1CCc2ccccc2C1)(=O)=O,Y030-0898,41,3,0,0,3,2.34,2.34,-2.97,45.76
CSc1ccccc1NC(c1ccc(c(c1)NC(c1ccncc1)=O)N1CC2CC(C1)C1=CC=CC(N1C2)=O)=O,K623-0780,58,5,2,8,8,2.72,3.02,-5.39,119.9
Cc1c(CCN(Cc2cc(c(c(c2)OC)OC)OC)C(NC)=S)c2ccccc2[nH]1,C198-0064,108,4,2,10,6,5.4,4.91,-4.07,90.84
Cc1c(CNC(Nc2ccccc2C(=O)OC)=O)c(C)n(C)n1,G532-0011,129,4,2,7,7,1.46,4.27,-4.7,85.25
Cc1c(CNCCc2ccc(cc2)[Cl])c(C(O)=O)c(C)n1c1ccccc1,G396-3288,73,4,2,8,4,5.04,3.26,-3.52,54.26
Cc1c(c2ccccc2)c2N=C3CCCC3=C(Nc3ccc(cc3)F)n2n1,D724-0561,48,3,1,3,4,5.524,6.761,-6.96,42.22
Cc1c(cccc1F)NS(c1ccc(cc1)N1CCCC1=O)(=O)=O,8016-1848,15,5,1,3,5,1.97,1.72,0.011,74.86
Cc1c(cccc1[Cl])Nc1nc(CSC(N2CCOCC2)=S)nc(N)n1,5750-2685,107,7,3,6,7,4.48,1.38,-2.9,121.3
Cc1c2cc(ccc2oc1C(Nc1ccc(cc1)F)=O)S(N1CCCC1)(=O)=O,K786-1113,20,6,1,5,6,3.48,2.45,-7.31,79.62
Cc1cc(cc(C)c1[Cl])OCC(N(Cc1ccco1)C1CCS(C1)(=O)=O)=O,D051-0287,83,6,0,7,6,2.43,2.41,-2.09,85.2
Cc1cc(ccc1OCC(Nc1ccc(c(c1)OC)OC)=O)S(N1CCOCC1)(=O)=O,Y050-2166,27,9,1,8,9,2.11,2.11,-3.74,111.8
Cc1cc2COC(c2c(n1)SCC#N)=O,8015-7259,34,4,0,2,4,0.62,0.62,-2.17,88.28
Cc1ccc(C)c(c1)N1CN(Cc2ccco2)CNC1=S,5701-2380,1,3,1,3,4,4.3,3.07,-3.07,63.74
Cc1ccc(C=NNC(c2ccc(cc2)NC(c2ccc(cc2)[Cl])=O)=O)o1,2262-2188,8,5,2,7,6,4.23,4.26,-3.6,83.7
Cc1ccc(CC(CC(Nc2ccc(cc2)OC(F)(F)F)=O)C(O)=O)cc1,8015-3576,31,7,2,9,5,5.33,0.78,-2.58,75.63
